;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
ericsanard;offlalanne;;;;;;;;;;;;;Mentions;2-5-2021 14:00;@DJAM0901 @coeurdestemps @OffLalanne @ZhangZhangZhang @TedericD Et vous n'avez aucun doute sur ce que vous lisez ?… https://t.co/7lCHa0noPW;https://twitter.com/i/web/status/1388856042835091457;twitter.com;;2-5-2021 14:00;https://twitter.com/#!/ericsanard/status/1388856042835091457;;;1388856042835091457;1388855500570349575
ericsanard;coeurdestemps;;;;;;;;;;;;;Mentions;2-5-2021 14:00;@DJAM0901 @coeurdestemps @OffLalanne @ZhangZhangZhang @TedericD Et vous n'avez aucun doute sur ce que vous lisez ?… https://t.co/7lCHa0noPW;https://twitter.com/i/web/status/1388856042835091457;twitter.com;;2-5-2021 14:00;https://twitter.com/#!/ericsanard/status/1388856042835091457;;;1388856042835091457;1388855500570349575
ericsanard;djam0901;;;;;;;;;;;;;Replies to;2-5-2021 14:00;@DJAM0901 @coeurdestemps @OffLalanne @ZhangZhangZhang @TedericD Et vous n'avez aucun doute sur ce que vous lisez ?… https://t.co/7lCHa0noPW;https://twitter.com/i/web/status/1388856042835091457;twitter.com;;2-5-2021 14:00;https://twitter.com/#!/ericsanard/status/1388856042835091457;;;1388856042835091457;1388855500570349575
ravioliuestern;ravioliuestern;;;;;;;;;;;;;Tweet;2-5-2021 14:01;"+++SEGUITE ButaCOMICS SE VI PIACE LA CARBONARA+++

🌐 https://t.co/r1t0gDHXQs 🐃

#RavioliUèstern #repost 532:… https://t.co/cJ46jwLWQT";https://www.facebook.com/butacomics https://twitter.com/i/web/status/1388856146153418752;facebook.com twitter.com;ravioliuèstern repost;2-5-2021 14:01;https://twitter.com/#!/ravioliuestern/status/1388856146153418752;;;1388856146153418752;
jomaas;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 14:03;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 14:03;https://twitter.com/#!/jomaas/status/1388856616813043715;;;1388856616813043715;
christinehedlin;ifyc;;;;;;;;;;;;;Mentions;2-5-2021 14:11;RT @RNS: A new @PRRIpoll and @ifyc survey suggests vaccine hesitancy and anti-vaccine sentiment is significant among faith groups, but so i…;;;;2-5-2021 14:11;https://twitter.com/#!/christinehedlin/status/1388858677981958144;;;1388858677981958144;
christinehedlin;prripoll;;;;;;;;;;;;;Mentions;2-5-2021 14:11;RT @RNS: A new @PRRIpoll and @ifyc survey suggests vaccine hesitancy and anti-vaccine sentiment is significant among faith groups, but so i…;;;;2-5-2021 14:11;https://twitter.com/#!/christinehedlin/status/1388858677981958144;;;1388858677981958144;
christinehedlin;rns;;;;;;;;;;;;;Mentions;2-5-2021 14:11;RT @RNS: A new @PRRIpoll and @ifyc survey suggests vaccine hesitancy and anti-vaccine sentiment is significant among faith groups, but so i…;;;;2-5-2021 14:11;https://twitter.com/#!/christinehedlin/status/1388858677981958144;;;1388858677981958144;
nickbackovic;amagicwindow;;;;;;;;;;;;;Mentions;2-5-2021 14:12;RT @amagicwindow: Here's a Google Doc that I'll be updating as I go.  This is a rough, uncurated list of archives and is based solely on th…;;;;2-5-2021 14:12;https://twitter.com/#!/nickbackovic/status/1388859050847358979;;;1388859050847358979;
truitje15;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 14:22;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 14:22;https://twitter.com/#!/truitje15/status/1388861514061336577;;;1388861514061336577;
